[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\095.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\095.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\096.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\096.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\097.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\097.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\098.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\098.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\001.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\001.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\002.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\002.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\003.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\003.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\004.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\004.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\005.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\005.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\006.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\006.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\007.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\007.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\008.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\008.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\009.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\009.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\010.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\010.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\011.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\011.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\012.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\012.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\013.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\013.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\014.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\014.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\015.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\015.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\016.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\016.jpg
